"eez"	"avg"	"sau_id"
"138"	"North Korea"	609761.269384615	408
"139"	"South Korea"	2119470.47046154	410
"140"	"Kuwait"	33632.5210769231	414
"141"	"Latvia"	83750.2038461538	428
"142"	"Lebanon"	5857.65492307692	422
"143"	"Liberia"	74824.4150769231	430
"144"	"Libya"	40615.9301538462	434
"145"	"Lithuania"	23802.8163076923	440
"146"	"Lord Howe Isl. (Australia)"	7267.82061538461	38
"147"	"Macquarie Island"	126.318	37
"148"	"Madagascar"	98294.4209230769	450
"149"	"Madeira"	7442.73492307692	621
"150"	"Malaysia"	1999380.114	460
"151"	"Malaysia (Peninsula West)"	720036.596	459
"152"	"Malaysia (Sabah)"	397116.417538462	461
"153"	"Malaysia (Sarawak)"	347115.368769231	463
"154"	"Maldives"	116324.769384615	462
"155"	"Malta"	2082.704	470
"156"	"Marshall Islands"	31262.2776923077	584
"157"	"Martinique"	5843.00692307692	474
"158"	"Mauritania"	1634174.47753846	478
"159"	"Mauritius"	18233.6535384615	480
"160"	"Mayotte"	3080.98061538462	175
"161"	"Mexico"	1567535.92138461	944
"162"	"Mexico (Pacific)"	1206393.90353846	945
"163"	"Micronesia "	153902.288615385	583
"164"	"Montenegro"	1256.25569230769	891
"165"	"Montserrat (UK)"	243.364769230769	500
"166"	"Morocco"	2734772.237230769	946
"167"	"Morocco (Mediterranean)"	61365.0533846154	947
"168"	"Morocco (South)"	1809471.73969231	948
"169"	"Mozambique"	142511.726	508
"170"	"Mozambique Channel Isl. (France)"	1841.30446153846	251
"171"	"Myanmar"	933458.854769231	104
"172"	"Namibia"	1198981.99338462	516
"173"	"Nauru"	19766.3986153846	520
"174"	"Netherlands"	207335.890153846	528
"175"	"New Caledonia"	11448.6686153846	540
"176"	"New Zealand"	553804.046307692	554
"177"	"Nicaragua"	32429.1252307692	949
"178"	"Nicaragua (Pacific)"	12137.9386153846	950
"179"	"Nigeria"	264392.168769231	566
"180"	"Niue"	768.370153846154	570
"181"	"Norfolk Island"	682.729230769231	574
"182"	"Northern Mariana Islands and Guam"	4506.47676923077	580
"183"	"Norway"	2469040.99323077	578
"184"	"Oman"	157687.037230769	512
"185"	"Oman (Musandam)"	4356.73061538462	911
"186"	"Pakistan"	618663.103538461	586
"187"	"Palau"	37424.8818461538	585
"188"	"Palmyra Atoll"	1153.58430769231	844
"189"	"Panama (Caribbean)"	1940.82861538462	951
"190"	"Panama"	145189.446	952
"191"	"Papua New Guinea"	226415.807538462	598
"192"	"Peru"	7376003.68430769	604
"193"	"Philippines"	1175933.406	608
"194"	"Pitcairn"	1315.91230769231	612
"195"	"Poland"	129714.220769231	616
"196"	"Portugal"	361341.977846154	620
"197"	"Prince Edward Islands"	1483.50861538462	711
"198"	"Puerto Rico"	4814.68307692308	630
"199"	"Qatar"	13765.9253846154	634
"200"	"Romania"	9186.69815384615	642
"201"	"Russia "	16322623.5381538462	648
"202"	"Russia (Barents Sea)"	989491.087538462	645
"203"	"Russia (Black Sea)"	203485.460461538	647
"204"	"Russia (Far East)"	5047769.64230769	649
